" ","Total","Jogging","Swimming","Reading","P-Value"
" ","n = 900","n = 300","n = 300","n = 300"," "
"Gender"," "," "," "," ","1"
"   Male","450 (50%)","150 (50%)","150 (50%)","150 (50%)",""
"   Female","450 (50%)","150 (50%)","150 (50%)","150 (50%)",""
"Weight Loss, pounds"," "," "," "," ","<.001"
" ","10.02 (14.10)","8.03 (7.45)","25.82 (8.92)","-3.79 (4.11)",""
"Program Use, hours"," "," "," "," ","0.469"
" ","2.00 (0.49)","1.99 (0.47)","1.99 (0.48)","2.03 (0.53)",""
"Program Effort, rating"," "," "," "," ","0.18"
" ","29.66 (5.14)","30.05 (5.04)","29.65 (5.17)","29.28 (5.20)",""
